,Day,Month,Unnamed: 0,Name,Date,Content,year
566,15,2,788,中捷视点,2019年02月15日 17:35  来自 360安全浏览器,关于发布重污染天气橙色预警启动二级应急响应 通知根据省环境应急与重污染天气预警中心 中国环境监测总站 省环境气象中心联合会商，预计    起，近地面受偏南气流影响，温度回升，湿度增大，扩散条件持续转差，污染物积累，园区将出现空气重度污染过程 为减轻重污染过程，保障人民群众,2019
567,15,2,789,噗气Q2020要努力,2019年02月15日 16:39  来自 iPhone客户端,四个灯坏 俩，空调开到 度还 冷得直哆嗦，第一天去上班，三点多 坐 住 ，回来家 空调电热毯闷头睡一觉，起来继续磨  基金本本,2019
568,15,2,790,D大橙子的小柚子C,2019年02月15日 16:34  来自 iPhone客户端,热空调，城市 大巴，还有江南 阴雨天气 ，很久没听 丽江小倩 一瞬间能让 逃避生活一首歌 时间，听 很多遍 李健 风吹麦浪，只能让 逃避几十秒,2019
569,15,2,791,阿田和小木,2019年02月15日 16:04  来自 iPhone客户端,前几天 家冷，现  开 制冷空调还 冷,2019
570,15,2,793,安然自若滴Denny,2019年02月15日 15:46  来自 喵的小坤酱iPhone 6s Plus,过个 好好 ，上个班感冒  鼻子 快擦掉    活生生被  冷空气冻感冒 ，  问 为什么，因为空调坏 ，修空调 人来 几天从未出现过，自己买 个鸟笼子放桌子空 烤脚，好吧，周末争取 家把感冒赶走,2019
571,15,2,794,柯基_哥斯拉,2019年02月15日 15:40  来自 iPhone客户端,们  空调，吹   风， 灰,2019
572,15,2,795,你是我眼睛里的光啊,2019年02月15日 15:27  来自 小米MIX 2 全面屏手机,隔壁 有个大姐真 嗨单位热水反正随便放 嘛 于 她每天来单位 洗鞋子 洗头然后来   用空调吹鞋子 吹头发？姐买个吹风机真  这么难吗 一脸寻常 吧鞋子挂 空调上 走   ？  考虑一下  感受 吗,2019
573,15,2,796,yeah一下耶,2019年02月15日 15:17  来自 微博 weibo.com,空调莫名其妙恢复正常  现 因为太暖和 无法专心工作，感觉冷一点更利于集中精力   P,2019
574,15,2,797,Cutie要幸福呀,2019年02月15日 15:12  来自 iPhone客户端,题目 干起皮疯狂 起皮鼻子旁边起皮嘴角 起皮哪   起皮 空调吹干  ——作者  干   utie,2019
575,15,2,798,小七到处讨米吃,2019年02月15日 14:59,全身上下贴 六个暖宝宝 包括脚底 两个 雪地靴还  姐    空调没啥效果 冷哭,2019
576,15,2,799,香椿椿椿头,2019年02月15日 14:40  来自 iPhone客户端,接线小哥 声音 太好听 吧   空调间 听 晕晕乎乎    由自主办理 套餐   还 装作淡定自若 内心 转圈圈,2019
577,15,2,800,五亿小铃铛1,2019年02月15日 14:30  来自 HUAWEI P20,赵思琦跑饭特别厉害下课铃响以后 可以慢悠悠 走到食堂然后找到赵思琦开始慢慢地吃饭然后吃到快打午休铃走回宿舍回到宿舍收拾收拾洗漱 准备睡觉  特别怀念放假前 开始学 下去 特别想赶紧回家但 内心又特别矛盾又想学习 特别怀念语文课英语课偷偷写理综数,2019
578,15,2,801,SNH48-长门,2019年02月15日 14:08  来自 微博 weibo.com,窗户，雨滴，破旧 空调，雾气， 复一 寺庙屋顶飘出 白烟，无意义 故事，可 生活总得续写 从最高到最低，这音乐和香气让人厌烦，想呆  清爽 地方，以 清爽 状态 快到 呢，三 属于言叶之庭，四 ，   谎言 想蓄长发，但  清爽  和这些熟悉 面孔告别 ，以后？ 知道 还会有,2019
579,15,2,802,果果很忙叫小芒果,2019年02月15日 13:58  来自 iPhone客户端,只想坐  吹 空调烤 小太阳抱 热水袋发呆,2019
580,15,2,803,少Mua,2019年02月15日 13:54  来自 iPhone客户端,这么冷 天， 空调坏,2019
581,15,2,804,一心爱啵,2019年02月15日 13:53  来自 iPhone客户端,空调终于暖和起来 ，幸福 想流泪  后到  被冻 这么多天 ，人生艰难,2019
582,15,2,805,-蜗牛小姐姐-,2019年02月15日 13:37  来自 iPhone客户端,空调热  把人烘飞，跑到没有空调 地方歇歇，吸两口凉气，爽  像喝 两口冰柠檬汽水 🍋🥤,2019
583,15,2,807,MuningMumengMuyoucun,2019年02月15日 13:24  来自 iPhone客户端,脸好干， 知道 家 火桶烘多 还  空调吹多,2019
584,15,2,808,换个名字能记住吗,2019年02月15日 13:06  来自 iPhone客户端,好冷       空调开 跟没开一样 还忘 带被子 能睡午觉,2019
585,15,2,809,我的名字叫做默,2019年02月15日 13:04  来自 微博轻享版,还   大金空调吹 爽,2019
586,15,2,811,飞扬Fion,2019年02月15日 11:45  来自 iPhone客户端,发现  空调 室外气温越低 时候它越吹冷风 从来 做雪中送炭 事 冻到手指僵硬 维修师傅  空调需 自 调节 行,2019
587,15,2,812,led菁菁菁菁菁菁菁菁,2019年02月15日 11:16  来自 iPhone客户端,新 愿望  们 空调能换台新 生生被冻得精神 一上午,2019
588,15,2,813,你比比什么呢,2019年02月15日 11:00  来自 Android,教案写一半空调停 ，好想冲出去向门卫大叫  还  呢,2019
589,15,2,814,云梦语寂,2019年02月15日 10:53  来自 vivo X20全面屏手机,常懵～神奇 空调刚进 室内温度还 十几度，空调打开调到制热模式 度，将近 个小时过去 ，室内温度成功变成  度， 因为温度调 太高 吗？😂 😂 😂 😂,2019
590,15,2,815,恋恋随风-,2019年02月15日 10:39  来自 iPhone客户端,一直下雨衣服 干  ， 穿 一件超薄 秋衣大概带制冷功能，坐  开 空调和小太阳还 冻得瑟瑟发抖~😱,2019
591,15,2,816,一个卖珍珠膏的老仙女,2019年02月15日 10:27  来自 荣耀8X,家 温度   到 度左右徘徊 工作人员态度恶劣 让 自己开空调 投诉 没地投诉 胶州·阜安街区,2019
592,15,2,817,你2姐-,2019年02月15日 10:25  来自 iPhone客户端,发誓 今 冬天一件大衣  买 全部买羽绒服 这几天每天  冻死 边缘挣扎，  空调又休克 ，现 室温 ℃,2019
593,15,2,819,米果儿麻麻,2019年02月15日 10:07  来自 360安全浏览器,坐  没有灵魂 人~  大脑 允许 思考最近 空调简直太 给力 ，敲键盘 手指一节节  冰凉 想上班，感觉现   一条咸鱼 还 如回家逗逗  米果子,2019
594,15,2,820,老朱万岁,2019年02月15日 10:05  来自 Android,到底有多冷，上衣羽绒服，肚子上放 放 一暖宝，穿 一双雪地靴垫 一副发热鞋垫，冻 手 好使还冻脸 暖气 热空调 好使，家 比   暖和  多少，太尼玛冷,2019
595,15,2,821,羽兮_sunshine,2019年02月15日 10:00  来自 HUAWEI nova 2 Plus,妈耶， 必须吐槽一下  空调，大过 回来  好使，吹冷风，外面下大雪，一屋子人感冒一半， 特喵还扁桃体发炎加发烧    仗 没人修吗， 想坏 坏，呵tui,2019
596,15,2,822,dingdongdongdongding,2019年02月15日 09:55  来自 iPhone客户端,昨天太热，出去办事没穿外套，回 后，空调太冷，迟 那么一会加衣服，嗓子 有点难受，马上知道感冒 ，但感觉 会太严重 晚上早早上床躺  ，头疼咽痛流鼻涕，忍 认为睡一觉 好，半夜一点多难受醒 ，爬起来吃药，勉强入睡， 总算好多,2019
597,15,2,824,chinweyo,2019年02月15日 09:10  来自 iPhone,们 开空调 魔幻广州,2019
598,15,2,825,街角紫巷的心晴,2019年02月15日 08:57  来自 iPhone客户端,大冷天  开  冷空调那必须 点赞 ～,2019
599,15,2,826,克里特岛上的向日葵,2019年02月15日 08:40  来自 iPhone客户端,昨天 过节去 吗🤔早上 好冷清 ， 第 到 开空调,2019
600,15,2,827,sweetgw,2019年02月15日 07:49  来自 荣耀8青春版 颜值担当,又  湿冷 雨天 昨天下午  中央空调又坏  早上打开手机 时候好希望能收到一天信息，告诉 空调坏 太冷  用来上班  然而，并没有 上班,2019
601,15,2,828,咄咄的朵朵的多多的跺跺,2019年02月15日 07:14  来自 iPhone,夏天 空调温度  只能像坐 子一样戴 帽子避免凉飕飕 风吹向 偏头痛常发作 后脑勺,2019
602,15,2,829,走过的美好,2019年02月15日 00:01  来自 HUAWEI P20,没想到 晚上居然和高中同学 掼蛋， kf 掼蛋  别有一番体味，有空调，环境好， 个 错 地方 大队长 起高中 事情，有 记得，有    模糊  但  所有过去 岁  ， 最怀恋 便 高中 时候  许因为那时候 轻， 许因为那时候简单， 算烦恼 只有学习那么一件事，目标很明确，,2019
